Contact,Salutation/Title,Job Title,Electorate,Party,Parliament Email
"Luxton, Jo-Anne",Hon,List Member,,Labour Party,Jo-Anne.Luxton@parliament.govt.nz
"Lyndon, Hūhana",,List Member,,Green Party,Huhana.Lyndon@parliament.govt.nz
"MacLeod, David",,Member for New Plymouth,New Plymouth,National Party,David.MacLeod@parliament.govt.nz
"Maipi-Clarke, Hana-Rawhiti",,Member for Hauraki-Waikato,Hauraki-Waikato,Te Pāti Māori,Hana-Rawhiti.Maipi-Clarke@parliament.govt.nz
"Marcroft, Jenny",,List Member,,NZ First,Jenny.Marcroft@parliament.govt.nz
"McAnulty, Kieran",Hon,List Member,,Labour Party,Kieran.McAnulty@parliament.govt.nz
"McCallum, Grant",,Member for Northland,Northland,National Party,Grant.McCallum@parliament.govt.nz
"McClay, Todd",Hon,Member for Rotorua,Rotorua,National Party,Todd.McClay@parliament.govt.nz
"McClure, Laura",,List Member,,ACT New Zealand,Laura.McClure@parliament.govt.nz
"McKee, Nicole",Hon,List Member,,ACT New Zealand,Nicole.McKee@parliament.govt.nz
"McLellan, Tracey",Dr.,List Member,,Labour Party,Tracey.McLellan@parliament.govt.nz
"Meager, James",Hon,Member for Rangitata,Rangitata,National Party,James.Meager@parliament.govt.nz
"Menéndez March, Ricardo",,List Member,,Green Party,Ricardo.March@parliament.govt.nz
"Mitchell, Mark",Hon,Member for Whangaparāoa,Whangaparāoa,National Party,Mark.Mitchell@parliament.govt.nz
"Mooney, Joseph",,Member for Southland,Southland,National Party,Joseph.Mooney@parliament.govt.nz
"Nakhle, Rima",,Member for Takanini,Takanini,National Party,Rima.Nakhle@parliament.govt.nz
"Ngarewa-Packer, Debbie",,Member for Te Tai Hauāuru,Te Tai Hauāuru,Te Pāti Māori,Debbie.Ngarewa-Packer@parliament.govt.nz
"Nimon, Katie",,Member for Napier,Napier,National Party,Katie.Nimon@parliament.govt.nz
"O'Connor, Damien",Hon,List Member,,Labour Party,Damien.O'Connor@parliament.govt.nz
"O'Connor, Greg",,Member for Ōhāriu,Ōhāriu,Labour Party,Greg.O'Connor@parliament.govt.nz
"Parmar, Parmjeet",Dr.,List Member,,ACT New Zealand,Parmjeet.Parmar@parliament.govt.nz
"Patterson, Mark",Hon,List Member,,NZ First,Mark.Patterson@parliament.govt.nz
"Paul, Tamatha",,Member for Wellington Central,Wellington Central,Green Party,Tamatha.Paul@parliament.govt.nz
"Penk, Chris",Hon,Member for Kaipara ki Mahurangi,Kaipara ki Mahurangi,National Party,Chris.Penk@parliament.govt.nz
"Peters, Winston",Rt. Hon.,List Member,,NZ First,Winston.Peters@parliament.govt.nz
"Pham, Lan",,List Member,,Green Party,Lan.Pham@parliament.govt.nz
"Potaka, Tama",Hon,Member for Hamilton West,Hamilton West,National Party,Tama.Potaka@parliament.govt.nz
"Prime, Willow-Jean",Hon,List Member,,Labour Party,Willow-Jean.Prime@parliament.govt.nz
"Pugh, Maureen",,Member for West Coast-Tasman,West Coast-Tasman,National Party,Maureen.Pugh@parliament.govt.nz
"Radhakrishnan, Priyanca",Hon,List Member,,Labour Party,Priyanca.Radhakrishnan@parliament.govt.nz
"Redmayne, Suze",,Member for Rangitīkei,Rangitīkei,National Party,Suze.Redmayne@parliament.govt.nz
"Reti, Shane",Hon. Dr.,Member for Whangārei,Whangārei,National Party,Shane.Reti@parliament.govt.nz
"Rurawhe, Adrian",Rt. Hon.,List Member,,Labour Party,Adrian.Rurawhe@parliament.govt.nz
"Russell, Deborah",Hon. Dr.,List Member,,Labour Party,Deborah.Russell@parliament.govt.nz
"Rutherford, Tom",,Member for Bay of Plenty,Bay of Plenty,National Party,Tom.Rutherford@parliament.govt.nz
"Salesa, Jenny",Hon,Member for Panmure-Ōtāhuhu,Panmure-Ōtāhuhu,Labour Party,Jenny.Salesa@parliament.govt.nz
"Sepuloni, Carmel",Hon,Member for Kelston,Kelston,Labour Party,Carmel.Sepuloni@parliament.govt.nz
"Seymour, David",Hon,Member for Epsom,Epsom,ACT New Zealand,David.Seymour@parliament.govt.nz
"Simmonds, Penny",Hon,Member for Invercargill,Invercargill,National Party,Penny.Simmonds@parliament.govt.nz
"Simpson, Scott",Hon,Member for Coromandel,Coromandel,National Party,Scott.Simpson@parliament.govt.nz
"Smith, Stuart",,Member for Kaikōura,Kaikōura,National Party,Stuart.Smith@parliament.govt.nz
"Sosene, Lemauga Lydia",,Member for Māngere,Māngere,Labour Party,Lemauga.Lydia.Sosene@parliament.govt.nz
"Stanford, Erica",Hon,Member for East Coast Bays,East Coast Bays,National Party,Erica.Stanford@parliament.govt.nz
"Stephenson, Todd",,List Member,,ACT New Zealand,Todd.Stephenson@parliament.govt.nz
"Swarbrick, Chlöe",,Member for Auckland Central,Auckland Central,Green Party,Chloe.Swarbrick@parliament.govt.nz
"Tangaere-Manuel, Cushla",,Member for Ikaroa-Rāwhiti,Ikaroa-Rāwhiti,Labour Party,Cushla.Tangaere-Manuel@parliament.govt.nz
"Tinetti, Jan",Hon,List Member,,Labour Party,Jan.Tinetti@parliament.govt.nz
"Tuiono, Teanau",,List Member,,Green Party,Teanau.Tuiono@parliament.govt.nz
"Twyford, Philip",Hon,Member for Te Atatū,Te Atatū,Labour Party,Philip.Twyford@parliament.govt.nz
"Uffindell, Sam",,Member for Tauranga,Tauranga,National Party,Sam.Uffindell@parliament.govt.nz
"Upston, Louise",Hon,Member for Taupō,Taupō,National Party,Louise.Upston@parliament.govt.nz
"Utikere, Tangi",,Member for Palmerston North,Palmerston North,Labour Party,Tangi.Utikere@parliament.govt.nz
"van de Molen, Tim",,Member for Waikato,Waikato,National Party,Tim.vandeMolen@parliament.govt.nz
"van Velden, Brooke",Hon,Member for Tāmaki,Tāmaki,ACT New Zealand,Brooke.vanVelden@parliament.govt.nz
"Verrall, Ayesha",Hon. Dr.,List Member,,Labour Party,Ayesha.Verrall@parliament.govt.nz
"Wade-Brown, Celia",,List Member,,Green Party,Celia.Wade-Brown@parliament.govt.nz
"Waititi, Rawiri",,Member for Waiariki,Waiariki,Te Pāti Māori,Rawiri.Waititi@parliament.govt.nz
"Walters, Vanushi",,List Member,,Labour Party,Vanushi.Walters@parliament.govt.nz
"Watts, Simon",Hon,Member for North Shore,North Shore,National Party,Simon.Watts@parliament.govt.nz
"Webb, Duncan",Hon. Dr.,Member for Christchurch Central,Christchurch Central,Labour Party,Duncan.Webb@parliament.govt.nz
"Wedd, Catherine",,Member for Tukituki,Tukituki,National Party,Catherine.Wedd@parliament.govt.nz
"Weenink, Vanessa",Dr.,Member for Banks Peninsula,Banks Peninsula,National Party,Vanessa.Weenink@parliament.govt.nz
"White, Helen",,Member for Mt Albert,Mt Albert,Labour Party,Helen.White@parliament.govt.nz
"Williams, Arena",,Member for Manurewa,Manurewa,Labour Party,Arena.Williams@parliament.govt.nz
"Willis, Nicola",Hon,List Member,,National Party,Nicola.Willis@parliament.govt.nz
"Willis, Scott",,List Member,,Green Party,Scott.Willis@parliament.govt.nz
"Wilson, David",Dr.,List Member,,NZ First,David.WilsonMP@parliament.govt.nz
"Woods, Megan",Hon. Dr.,Member for Wigram,Wigram,Labour Party,Megan.Woods@parliament.govt.nz
"Xu-Nan, Lawrence",,List Member,,Green Party,Lawrence.Xu-Nan@parliament.govt.nz
